Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-02-26 00:00:00-05:00,51.80817009696126,51.988420619955434,50.992292832602864,51.884063720703125,7397700,0.0,0
2018-02-27 00:00:00-05:00,51.789203260033716,52.18765298488354,50.78358636272947,50.86896896362305,5979200,0.0,0
2018-02-28 00:00:00-05:00,51.10614212827761,51.70382033073637,50.622309805607344,51.134605407714844,6328200,0.0,0
2018-03-01 00:00:00-05:00,51.10614094905741,52.140217476571124,50.290263590966575,50.61281967163086,7876800,0.0,0
2018-03-02 00:00:00-05:00,50.07206266698491,50.688715146905224,49.15183204887831,50.527435302734375,6860500,0.0,0
2018-03-05 00:00:00-05:00,50.19539132090009,51.31485035034436,49.88232423312932,51.030242919921875,5964000,0.0,0
2018-03-06 00:00:00-05:00,51.153576129369846,51.33383029630782,50.73615209352966,51.07768249511719,4690900,0.0,0
2018-03-07 00:00:00-05:00,50.622308364753586,50.90691581816362,50.40410919650656,50.78358459472656,4554400,0.0,0
2018-03-08 00:00:00-05:00,51.191523429754106,52.18765132925728,51.096655484650995,51.83663558959961,6740700,0.0,0
2018-03-09 00:00:00-05:00,52.12123893420488,53.21223831176757,51.77971218737449,53.21223831176758,6975900,0.0,0
2018-03-12 00:00:00-04:00,53.364030970777286,53.582230129802426,52.718918840189936,53.278648376464844,6337600,0.0,0
2018-03-13 00:00:00-04:00,53.468389123242765,54.08503799077833,52.614563160218076,53.686588287353516,9137400,0.0,0
2018-03-14 00:00:00-04:00,53.7150448737899,54.32220835988465,53.136341045174646,53.269161224365234,7157000,0.0,0
2018-03-15 00:00:00-04:00,53.572748340671936,53.648641974555865,52.94661048046364,53.44941711425781,4266300,0.0,0
2018-03-16 00:00:00-04:00,53.56326062972246,54.36965267488917,53.53480096872162,53.78145980834961,6546600,0.0,0
2018-03-19 00:00:00-04:00,53.63915334178925,53.819403877830084,52.68097048746385,53.08890914916992,6121000,0.0,0
2018-03-20 00:00:00-04:00,53.27865164805398,53.80992155850749,53.07942678875148,53.6012077331543,4363500,0.0,0
2018-03-21 00:00:00-04:00,52.64302369161822,53.4683863334915,51.940988645429314,53.07942199707031,9313900,0.0,0
2018-03-22 00:00:00-04:00,52.65250702442998,53.126853934559975,51.8271444141181,51.865089416503906,6631400,0.0,0
2018-03-23 00:00:00-04:00,51.96945347894905,52.37739216740722,51.0776824678206,51.134605407714844,7321400,0.0,0
